Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2022,2022-04-09,20:30,Fluminense,Santos,0,0,D,1.73,3.53,5.67,1.84,3.65,5.7,1.76,3.38,5.19,58600000,66150000
Brazil,Serie A,2022,2022-04-09,23:00,Atletico GO,Flamengo RJ,1,1,D,3.99,3.37,2.06,4.41,3.5,2.06,3.92,3.38,1.97,13950000,156350000
Brazil,Serie A,2022,2022-04-10,01:00,Palmeiras,Ceara,2,3,A,1.44,4.41,8.53,1.46,4.85,9.0,1.42,4.32,7.99,161100000,35600000
Brazil,Serie A,2022,2022-04-10,15:00,Coritiba,Goias,3,0,H,1.85,3.35,4.96,2.03,3.39,5.0,1.87,3.26,4.63,19130000,15830000
Brazil,Serie A,2022,2022-04-10,20:00,Atletico-MG,Internacional,2,0,H,1.5,4.2,7.46,1.53,4.6,8.5,1.47,4.27,7.11,113250000,78700000
Brazil,Serie A,2022,2022-04-10,20:00,Botafogo RJ,Corinthians,1,3,A,2.62,3.07,3.08,3.15,3.21,3.12,2.57,3.0,2.98,46130000,87750000
Brazil,Serie A,2022,2022-04-10,22:00,Fortaleza,Cuiaba,0,1,A,1.93,3.08,5.25,2.01,3.48,5.25,1.9,3.12,4.75,30300000,18750000
Brazil,Serie A,2022,2022-04-10,23:00,Avai,America MG,1,0,H,3.08,2.82,2.83,3.08,3.0,2.86,2.92,2.87,2.71,95800000,18950000
Brazil,Serie A,2022,2022-04-10,23:00,Sao Paulo,Athletico-PR,4,0,H,1.61,3.68,6.85,1.7,3.92,6.9,1.63,3.62,5.98,76700000,67200000
Brazil,Serie A,2022,2022-04-12,00:00,Juventude,Bragantino,2,2,D,2.36,3.17,3.39,2.55,3.2,3.4,2.37,3.05,3.22,17930000,81830000
Brazil,Serie A,2022,2022-04-16,20:30,Goias,Palmeiras,1,1,D,6.62,3.93,1.6,7.0,4.09,1.63,6.15,3.84,1.57,15830000,161100000
Brazil,Serie A,2022,2022-04-16,23:00,America MG,Juventude,4,1,H,2.08,2.96,4.64,2.11,3.27,4.8,2.05,2.99,4.27,18950000,17930000
Brazil,Serie A,2022,2022-04-16,23:00,Corinthians,Avai,3,0,H,1.5,3.96,8.53,1.57,4.4,10.31,1.5,3.84,7.7,87750000,95800000
Brazil,Serie A,2022,2022-04-17,01:00,Cuiaba,Fluminense,0,1,A,3.02,2.85,2.85,3.11,3.03,2.85,2.98,2.84,2.71,18750000,58600000
Brazil,Serie A,2022,2022-04-17,15:00,Santos,Coritiba,2,1,H,2.01,3.39,4.22,2.02,3.44,4.27,1.97,3.33,4.01,66150000,19130000
Brazil,Serie A,2022,2022-04-17,20:00,Flamengo RJ,Sao Paulo,3,1,H,1.72,3.82,5.18,1.8,3.92,5.3,1.74,3.68,4.76,156350000,76700000
Brazil,Serie A,2022,2022-04-17,22:00,Athletico-PR,Atletico-MG,0,1,A,3.75,3.16,2.22,3.93,3.55,2.28,3.64,3.14,2.17,67200000,113250000
Brazil,Serie A,2022,2022-04-17,22:00,Bragantino,Atletico GO,4,0,H,1.89,3.45,4.62,2.0,3.66,5.5,1.86,3.41,4.43,81830000,13950000
Brazil,Serie A,2022,2022-04-17,22:00,Internacional,Fortaleza,2,1,H,2.46,3.05,3.35,2.55,3.68,4.8,2.37,3.07,3.26,78700000,30300000
Brazil,Serie A,2022,2022-04-17,23:00,Ceara,Botafogo RJ,1,3,A,1.72,3.76,5.24,1.85,3.8,5.6,1.75,3.56,4.92,35600000,46130000
Brazil,Serie A,2022,2022-04-20,23:30,Flamengo RJ,Palmeiras,0,0,D,2.12,3.42,3.71,2.14,3.62,3.86,2.06,3.38,3.6,156350000,161100000
Brazil,Serie A,2022,2022-04-23,20:30,Athletico-PR,Flamengo RJ,1,0,H,3.82,3.38,2.1,4.0,3.53,2.17,3.59,3.36,2.07,67200000,156350000
Brazil,Serie A,2022,2022-04-23,20:30,Bragantino,Sao Paulo,1,1,D,3.4,3.1,2.4,3.5,3.42,2.49,3.31,3.11,2.32,81830000,76700000
Brazil,Serie A,2022,2022-04-23,23:00,Fluminense,Internacional,0,1,A,1.87,3.28,5.11,2.0,3.5,5.25,1.85,3.25,4.78,58600000,78700000
Brazil,Serie A,2022,2022-04-23,23:00,Palmeiras,Corinthians,3,0,H,1.91,3.36,4.66,2.18,3.62,4.8,1.9,3.29,4.44,161100000,87750000
Brazil,Serie A,2022,2022-04-24,01:00,Atletico-MG,Coritiba,2,2,D,1.25,5.73,15.17,1.27,6.15,20.0,1.23,5.79,14.05,113250000,19130000
Brazil,Serie A,2022,2022-04-24,20:00,Santos,America MG,3,0,H,2.2,3.13,3.85,2.38,3.22,3.85,2.24,3.06,3.54,66150000,18950000
Brazil,Serie A,2022,2022-04-24,22:00,Juventude,Cuiaba,0,1,A,2.07,3.05,4.49,2.15,3.14,4.7,2.05,3.01,4.26,17930000,18750000
Brazil,Serie A,2022,2022-04-24,22:30,Atletico GO,Botafogo RJ,1,1,D,2.29,3.34,3.36,2.3,3.5,3.5,2.24,3.27,3.27,13950000,46130000
Brazil,Serie A,2022,2022-04-26,00:00,Avai,Goias,3,2,H,2.26,2.96,3.95,2.35,3.1,4.2,2.22,2.92,3.79,95800000,15830000
Brazil,Serie A,2022,2022-04-30,20:30,America MG,Athletico-PR,1,0,H,1.99,3.21,4.52,2.05,3.36,4.6,1.98,3.2,4.19,18950000,67200000
Brazil,Serie A,2022,2022-04-30,20:30,Ceara,Bragantino,0,1,A,2.05,3.29,4.12,2.15,3.44,4.2,2.04,3.27,3.85,35600000,81830000
Brazil,Serie A,2022,2022-04-30,22:30,Goias,Atletico-MG,2,2,D,7.5,4.16,1.51,8.19,4.5,1.53,7.35,4.16,1.47,15830000,113250000
Brazil,Serie A,2022,2022-04-30,23:00,Cuiaba,Atletico GO,1,1,D,2.25,2.99,3.93,2.37,3.15,3.93,2.27,2.95,3.58,18750000,13950000
Brazil,Serie A,2022,2022-05-01,15:00,Botafogo RJ,Juventude,1,1,D,1.92,3.31,4.73,2.02,3.55,4.73,1.93,3.29,4.26,46130000,17930000
Brazil,Serie A,2022,2022-05-01,20:00,Corinthians,Fortaleza,1,0,H,1.81,3.47,5.15,1.91,3.66,5.2,1.81,3.37,4.81,87750000,30300000
Brazil,Serie A,2022,2022-05-01,20:00,Coritiba,Fluminense,3,2,H,2.53,2.95,3.34,2.7,3.13,3.34,2.5,2.94,3.14,19130000,58600000
Brazil,Serie A,2022,2022-05-01,23:00,Internacional,Avai,0,0,D,1.53,4.02,7.6,1.56,4.14,8.0,1.52,3.9,6.93,78700000,95800000
Brazil,Serie A,2022,2022-05-03,00:00,Sao Paulo,Santos,2,1,H,1.65,3.73,6.07,1.7,4.0,6.35,1.63,3.66,5.92,76700000,66150000
Brazil,Serie A,2022,2022-05-07,20:30,Atletico-MG,America MG,1,2,A,1.44,4.67,7.74,1.49,4.75,8.3,1.43,4.47,7.31,113250000,18950000
Brazil,Serie A,2022,2022-05-08,00:30,Athletico-PR,Ceara,1,0,H,2.1,3.26,4.0,2.25,3.33,4.0,2.12,3.19,3.66,67200000,35600000
Brazil,Serie A,2022,2022-05-08,15:00,Flamengo RJ,Botafogo RJ,0,1,A,1.5,4.31,7.2,1.52,4.85,7.88,1.48,4.31,6.58,156350000,46130000
Brazil,Serie A,2022,2022-05-08,20:00,Atletico GO,Goias,0,1,A,1.78,3.46,5.37,1.83,3.51,6.05,1.76,3.37,5.12,13950000,15830000
Brazil,Serie A,2022,2022-05-08,20:00,Palmeiras,Fluminense,1,1,D,1.45,4.47,7.97,1.55,4.55,8.0,1.46,4.25,7.26,161100000,58600000
Brazil,Serie A,2022,2022-05-08,22:00,Bragantino,Corinthians,0,1,A,2.69,3.01,3.04,2.7,3.2,3.09,2.55,3.06,2.94,81830000,87750000
Brazil,Serie A,2022,2022-05-08,22:00,Santos,Cuiaba,4,1,H,1.91,3.21,5.0,1.95,3.3,5.75,1.85,3.18,4.96,66150000,18750000
Brazil,Serie A,2022,2022-05-08,23:00,Fortaleza,Sao Paulo,1,1,D,2.51,3.08,3.22,2.56,3.2,3.4,2.43,3.03,3.16,30300000,76700000
Brazil,Serie A,2022,2022-05-08,23:00,Juventude,Internacional,1,1,D,2.91,2.93,2.88,2.91,3.11,2.98,2.77,2.91,2.83,17930000,78700000
Brazil,Serie A,2022,2022-05-10,00:00,Avai,Coritiba,2,1,H,2.35,3.15,3.44,2.55,3.2,3.5,2.34,3.07,3.28,95800000,19130000
Brazil,Serie A,2022,2022-05-12,00:30,Bragantino,Atletico-MG,1,1,D,3.42,3.12,2.38,3.6,3.26,2.38,3.41,3.1,2.26,81830000,113250000
Brazil,Serie A,2022,2022-05-14,20:30,Ceara,Flamengo RJ,2,2,D,4.26,3.62,1.91,4.26,3.62,2.03,3.86,3.41,1.97,35600000,156350000
Brazil,Serie A,2022,2022-05-14,20:30,Palmeiras,Bragantino,2,0,H,1.34,5.58,8.98,1.39,5.8,10.0,1.33,5.24,8.86,161100000,81830000
Brazil,Serie A,2022,2022-05-14,23:00,Atletico-MG,Atletico GO,2,0,H,1.27,6.11,10.8,1.28,6.5,12.0,1.25,5.93,11.0,113250000,13950000
Brazil,Serie A,2022,2022-05-14,23:00,Internacional,Corinthians,2,2,D,2.27,3.15,3.62,2.36,3.25,3.88,2.24,3.12,3.46,78700000,87750000
Brazil,Serie A,2022,2022-05-15,01:00,Fluminense,Athletico-PR,2,1,H,2.08,3.18,4.21,2.13,3.22,4.33,2.05,3.06,4.08,58600000,67200000
Brazil,Serie A,2022,2022-05-15,20:00,Sao Paulo,Cuiaba,2,1,H,1.46,4.26,8.35,1.5,4.26,8.5,1.47,4.05,7.57,76700000,18750000
Brazil,Serie A,2022,2022-05-15,21:30,Coritiba,America MG,1,0,H,2.24,3.13,3.74,2.26,3.28,3.79,2.17,3.11,3.61,19130000,18950000
Brazil,Serie A,2022,2022-05-15,22:00,Avai,Juventude,1,2,A,2.4,3.04,3.47,2.4,3.18,3.67,2.28,2.99,3.49,95800000,17930000
Brazil,Serie A,2022,2022-05-15,22:00,Botafogo RJ,Fortaleza,3,1,H,2.34,3.1,3.54,2.35,3.26,3.56,2.29,3.09,3.36,46130000,30300000
Brazil,Serie A,2022,2022-05-15,23:00,Goias,Santos,1,0,H,3.21,3.09,2.51,3.25,3.22,2.55,3.08,3.05,2.46,15830000,66150000
Brazil,Serie A,2022,2022-05-21,20:30,Atletico GO,Coritiba,2,0,H,2.08,3.23,4.05,2.3,3.4,4.05,2.12,3.24,3.6,13950000,19130000
Brazil,Serie A,2022,2022-05-21,20:30,Flamengo RJ,Goias,1,0,H,1.17,7.33,18.97,1.2,7.75,19.51,1.17,7.26,16.02,156350000,15830000
Brazil,Serie A,2022,2022-05-21,22:30,Santos,Ceara,0,0,D,2.46,3.1,3.29,2.46,3.35,3.65,2.31,3.1,3.3,66150000,35600000
Brazil,Serie A,2022,2022-05-21,23:00,Juventude,Palmeiras,0,3,A,5.07,3.42,1.83,5.25,3.6,1.9,4.68,3.37,1.83,17930000,161100000
Brazil,Serie A,2022,2022-05-22,01:00,America MG,Botafogo RJ,1,1,D,2.72,3.08,2.88,2.8,3.2,2.97,2.67,3.03,2.82,18950000,46130000
Brazil,Serie A,2022,2022-05-22,01:00,Cuiaba,Internacional,1,1,D,3.0,2.9,2.82,3.05,3.04,2.86,2.89,2.88,2.73,18750000,78700000
Brazil,Serie A,2022,2022-05-22,20:00,Corinthians,Sao Paulo,1,1,D,2.56,2.86,3.41,2.63,3.05,3.58,2.49,2.86,3.28,87750000,76700000
Brazil,Serie A,2022,2022-05-22,20:00,Fortaleza,Fluminense,0,1,A,2.02,3.3,4.23,2.15,3.4,4.23,2.03,3.21,3.97,30300000,58600000
