Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2018,2018-05-06,20:00,Flamengo RJ,Internacional,2,0,H,1.76,3.58,5.24,1.85,3.6,5.56,1.77,3.41,4.84,88100000.0,52930000.0
Brazil,Serie A,2018,2018-05-06,20:00,Vitoria,Fluminense,1,2,A,2.07,3.61,3.68,2.13,3.54,4.0,2.05,3.36,3.54,22280000.0,30750000.0
Brazil,Serie A,2018,2018-05-06,23:00,Gremio,Santos,5,1,H,1.63,3.89,6.16,1.65,4.0,6.7,1.59,3.72,5.91,82200000.0,51100000.0
Brazil,Serie A,2018,2018-05-06,23:00,Sport Recife,Bahia,2,0,H,2.24,3.39,3.42,2.34,3.4,3.6,2.23,3.21,3.25,21150000.0,28850000.0
Brazil,Serie A,2018,2018-05-08,00:00,Chapecoense-SC,Parana,1,1,D,1.78,3.43,5.63,1.79,3.5,5.94,1.74,3.34,5.27,26850000.0,13000000.0
Brazil,Serie A,2018,2018-05-12,20:00,Gremio,Internacional,0,0,D,1.9,3.08,5.5,1.95,3.4,5.56,1.84,3.14,4.91,82200000.0,52930000.0
Brazil,Serie A,2018,2018-05-13,15:00,Cruzeiro,Sport Recife,2,0,H,1.43,4.69,8.41,1.44,4.75,10.02,1.39,4.49,8.25,55000000.0,21150000.0
Brazil,Serie A,2018,2018-05-13,20:00,Atletico-PR,Atletico-MG,1,2,A,2.42,3.3,3.16,2.5,3.3,3.22,2.38,3.18,3.0,30050000.0,48300000.0
Brazil,Serie A,2018,2018-05-13,20:00,Bahia,Sao Paulo,2,2,D,2.39,3.13,3.39,2.4,3.2,3.6,2.3,3.06,3.27,28850000.0,57300000.0
Brazil,Serie A,2018,2018-05-13,20:00,Chapecoense-SC,Flamengo RJ,3,2,H,3.08,3.1,2.57,3.3,3.3,2.57,3.07,3.06,2.41,26850000.0,88100000.0
Brazil,Serie A,2018,2018-05-13,20:00,Corinthians,Palmeiras,1,0,H,3.13,2.96,2.68,3.13,3.2,2.8,2.87,2.97,2.62,56950000.0,79050000.0
Brazil,Serie A,2018,2018-05-13,20:00,Vasco,Vitoria,2,3,A,1.88,3.58,4.47,1.94,3.6,4.6,1.85,3.46,4.23,42750000.0,22280000.0
Brazil,Serie A,2018,2018-05-13,23:00,Santos,Parana,3,1,H,1.6,3.75,7.18,1.6,4.2,8.6,1.53,3.83,6.69,51100000.0,13000000.0
Brazil,Serie A,2018,2018-05-15,00:00,Botafogo RJ,Fluminense,2,1,H,2.58,3.1,3.09,2.6,3.31,3.3,2.43,3.12,2.99,27800000.0,30750000.0
Brazil,Serie A,2018,2018-05-15,00:00,Ceara,America MG,2,2,D,1.98,3.42,4.24,2.33,3.42,4.33,1.95,3.25,4.04,28550000.0,21580000.0
Brazil,Serie A,2018,2018-05-19,20:00,Atletico-MG,Cruzeiro,1,0,H,2.01,3.43,4.12,2.1,3.43,4.33,1.98,3.29,3.89,48300000.0,55000000.0
Brazil,Serie A,2018,2018-05-19,23:00,Flamengo RJ,Vasco,1,1,D,1.62,3.99,6.09,1.65,4.1,6.32,1.59,3.86,5.62,88100000.0,42750000.0
Brazil,Serie A,2018,2018-05-20,01:00,Palmeiras,Bahia,3,0,H,1.4,4.62,9.45,1.42,4.9,9.6,1.39,4.41,8.44,79050000.0,28850000.0
Brazil,Serie A,2018,2018-05-20,15:00,Vitoria,Ceara,2,1,H,1.96,3.51,4.19,1.99,3.6,4.5,1.9,3.43,4.06,22280000.0,28550000.0
Brazil,Serie A,2018,2018-05-20,20:00,America MG,Botafogo RJ,1,0,H,2.32,3.22,3.42,2.35,3.37,3.5,2.24,3.19,3.25,21580000.0,27800000.0
Brazil,Serie A,2018,2018-05-20,20:00,Parana,Gremio,0,0,D,4.94,3.55,1.83,5.0,3.58,1.91,4.65,3.32,1.82,13000000.0,82200000.0
Brazil,Serie A,2018,2018-05-20,20:00,Sao Paulo,Santos,1,0,H,2.08,3.28,4.01,2.16,3.35,4.11,2.04,3.24,3.77,57300000.0,51100000.0
Brazil,Serie A,2018,2018-05-20,20:00,Sport Recife,Corinthians,1,1,D,2.0,3.35,4.26,2.05,3.42,4.5,1.97,3.19,4.08,21150000.0,56950000.0
Brazil,Serie A,2018,2018-05-20,23:00,Fluminense,Atletico-PR,2,0,H,1.93,3.51,4.35,1.97,3.55,4.42,1.91,3.41,4.03,30750000.0,30050000.0
Brazil,Serie A,2018,2018-05-22,00:00,Internacional,Chapecoense-SC,3,0,H,1.64,3.7,6.52,1.72,3.8,6.89,1.63,3.52,5.98,52930000.0,26850000.0
Brazil,Serie A,2018,2018-05-26,20:00,Fluminense,Chapecoense-SC,3,1,H,1.91,3.28,4.85,1.95,3.4,5.0,1.88,3.21,4.49,30750000.0,26850000.0
Brazil,Serie A,2018,2018-05-26,23:00,Palmeiras,Sport Recife,2,3,A,1.36,4.94,10.52,1.37,5.1,12.0,1.34,4.73,9.22,79050000.0,21150000.0
Brazil,Serie A,2018,2018-05-27,01:00,Atletico-MG,Flamengo RJ,0,1,A,1.95,3.43,4.23,2.03,3.56,5.0,1.89,3.39,4.13,48300000.0,88100000.0
Brazil,Serie A,2018,2018-05-27,15:00,Parana,Atletico-PR,0,0,D,2.61,3.13,3.02,2.8,3.16,3.1,2.56,3.02,2.91,13000000.0,30050000.0
Brazil,Serie A,2018,2018-05-27,20:00,Bahia,Vasco,3,0,H,1.69,3.82,5.58,1.76,3.85,5.58,1.69,3.68,4.99,28850000.0,42750000.0
Brazil,Serie A,2018,2018-05-27,20:00,Botafogo RJ,Vitoria,1,1,D,1.87,3.86,4.18,1.92,3.86,4.39,1.84,3.62,4.07,27800000.0,22280000.0
Brazil,Serie A,2018,2018-05-27,20:00,Internacional,Corinthians,2,1,H,1.84,3.34,5.22,1.9,3.5,5.25,1.81,3.28,4.82,52930000.0,56950000.0
Brazil,Serie A,2018,2018-05-27,20:00,Santos,Cruzeiro,0,1,A,2.83,3.22,2.74,2.9,3.22,2.83,2.77,3.05,2.66,51100000.0,55000000.0
Brazil,Serie A,2018,2018-05-27,23:00,America MG,Sao Paulo,1,3,A,3.12,3.05,2.6,3.15,3.1,2.85,2.98,2.96,2.55,21580000.0,57300000.0
Brazil,Serie A,2018,2018-05-27,23:00,Ceara,Gremio,0,1,A,3.82,3.15,2.2,3.86,3.2,2.27,3.61,3.03,2.18,28550000.0,82200000.0
Brazil,Serie A,2018,2018-05-30,23:30,Sport Recife,Atletico-MG,3,2,H,2.75,3.3,2.75,2.84,3.3,2.8,2.67,3.17,2.65,21150000.0,48300000.0
Brazil,Serie A,2018,2018-05-30,23:30,Vasco,Parana,1,0,H,1.97,3.21,4.65,2.0,3.3,4.7,1.94,3.14,4.29,42750000.0,13000000.0
Brazil,Serie A,2018,2018-05-30,23:30,Vitoria,Internacional,2,3,A,3.43,3.17,2.35,3.54,3.4,2.42,3.27,3.13,2.27,22280000.0,52930000.0
Brazil,Serie A,2018,2018-05-31,01:00,Chapecoense-SC,Ceara,2,0,H,1.93,3.35,4.62,1.97,3.5,4.8,1.9,3.25,4.34,26850000.0,28550000.0
Brazil,Serie A,2018,2018-05-31,01:00,Sao Paulo,Botafogo RJ,3,2,H,1.63,3.76,6.48,1.63,3.9,6.7,1.6,3.66,6.0,57300000.0,27800000.0
Brazil,Serie A,2018,2018-05-31,01:45,Cruzeiro,Palmeiras,1,0,H,2.08,3.39,3.88,2.17,3.5,3.9,2.05,3.29,3.64,55000000.0,79050000.0
Brazil,Serie A,2018,2018-05-31,01:45,Gremio,Fluminense,0,0,D,1.4,4.92,8.72,1.45,4.95,10.0,1.38,4.49,8.32,82200000.0,30750000.0
Brazil,Serie A,2018,2018-05-31,20:00,Flamengo RJ,Bahia,2,0,H,1.41,4.42,10.02,1.47,4.45,10.02,1.41,4.15,8.6,88100000.0,28850000.0
Brazil,Serie A,2018,2018-05-31,22:00,Corinthians,America MG,1,0,H,1.55,3.94,7.63,1.58,4.0,8.1,1.52,3.8,7.0,56950000.0,21580000.0
Brazil,Serie A,2018,2018-06-01,01:00,Atletico-PR,Santos,2,0,H,2.31,3.36,3.3,2.41,3.36,3.4,2.28,3.24,3.14,30050000.0,51100000.0
Brazil,Serie A,2018,2018-06-02,20:00,Atletico-MG,Chapecoense-SC,3,3,D,1.56,3.96,7.25,1.58,4.3,7.4,1.54,3.82,6.48,48300000.0,26850000.0
Brazil,Serie A,2018,2018-06-02,20:00,Internacional,Sport Recife,0,0,D,1.43,4.57,8.87,1.48,4.69,10.0,1.41,4.31,8.06,52930000.0,21150000.0
Brazil,Serie A,2018,2018-06-02,23:00,Vasco,Botafogo RJ,1,2,A,2.39,3.34,3.16,2.58,3.38,3.2,2.41,3.2,2.95,42750000.0,27800000.0
Brazil,Serie A,2018,2018-06-03,01:00,Palmeiras,Sao Paulo,3,1,H,2.08,3.3,4.03,2.09,3.4,4.04,2.02,3.26,3.8,79050000.0,57300000.0
Brazil,Serie A,2018,2018-06-03,20:00,America MG,Atletico-PR,3,1,H,2.32,3.42,3.23,2.43,3.44,3.27,2.3,3.22,3.11,21580000.0,30050000.0
Brazil,Serie A,2018,2018-06-03,20:00,Bahia,Gremio,0,2,A,3.14,2.99,2.63,3.16,3.2,2.72,2.98,2.94,2.55,28850000.0,82200000.0
Brazil,Serie A,2018,2018-06-03,20:00,Flamengo RJ,Corinthians,1,0,H,1.78,3.48,5.43,1.8,3.8,5.56,1.74,3.42,5.09,88100000.0,56950000.0
Brazil,Serie A,2018,2018-06-03,20:00,Santos,Vitoria,5,2,H,1.56,4.34,6.17,1.62,4.35,6.5,1.56,4.0,5.79,51100000.0,22280000.0
Brazil,Serie A,2018,2018-06-03,23:00,Ceara,Cruzeiro,0,1,A,4.79,3.32,1.91,4.79,3.55,2.01,4.36,3.24,1.89,28550000.0,55000000.0
Brazil,Serie A,2018,2018-06-05,00:00,Parana,Fluminense,2,1,H,2.54,3.23,3.03,2.68,3.28,3.13,2.51,3.05,2.94,13000000.0,30750000.0
