Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2016,2016-05-14,20:00,Flamengo RJ,Sport Recife,1,0,H,1.6,4.15,6.33,1.7,4.15,6.8,1.58,3.8,5.7,57450000,30550000
Brazil,Serie A,2016,2016-05-14,20:00,Palmeiras,Atletico-PR,4,0,H,1.81,3.72,4.94,1.81,3.8,5.75,1.74,3.52,4.72,72050000,43930000
Brazil,Serie A,2016,2016-05-14,22:30,Atletico-MG,Santos,1,0,H,3.17,3.25,2.49,3.17,3.25,2.65,2.84,3.14,2.47,65050000,54280000
Brazil,Serie A,2016,2016-05-15,01:00,Coritiba,Cruzeiro,1,0,H,2.68,3.25,2.91,3.0,3.4,2.91,2.69,3.09,2.66,23400000,71700000
Brazil,Serie A,2016,2016-05-15,15:00,Botafogo RJ,Sao Paulo,0,1,A,1.95,3.46,4.45,1.98,3.75,4.75,1.9,3.3,4.11,25980000,78500000
Brazil,Serie A,2016,2016-05-15,15:00,Santa Cruz,Vitoria,4,1,H,1.83,3.62,4.9,2.0,3.66,4.9,1.9,3.31,4.05,24250000,23350000
Brazil,Serie A,2016,2016-05-15,20:00,America MG,Fluminense,0,1,A,2.63,3.33,2.91,2.7,3.33,3.0,2.49,3.16,2.8,12400000,57750000
Brazil,Serie A,2016,2016-05-15,20:00,Corinthians,Gremio,0,0,D,1.85,3.44,5.2,1.87,3.55,5.4,1.8,3.3,4.67,64550000,59600000
Brazil,Serie A,2016,2016-05-15,20:00,Figueirense,Ponte Preta,0,0,D,2.33,3.19,3.53,2.46,3.2,3.53,2.3,3.08,3.21,14950000,25900000
Brazil,Serie A,2016,2016-05-15,22:30,Internacional,Chapecoense-SC,0,0,D,1.67,3.7,6.41,1.67,3.76,6.63,1.63,3.53,5.78,58300000,21250000
Brazil,Serie A,2016,2016-05-21,20:00,Ponte Preta,Palmeiras,2,1,H,2.64,3.25,2.95,3.25,3.25,2.95,2.71,3.08,2.63,25900000,72050000
Brazil,Serie A,2016,2016-05-21,22:30,Fluminense,Santa Cruz,2,2,D,1.63,3.9,5.2,1.67,3.99,6.7,1.62,3.66,5.53,57750000,24250000
Brazil,Serie A,2016,2016-05-22,01:00,Cruzeiro,Figueirense,2,2,D,1.41,4.48,10.69,1.5,4.5,10.69,1.4,4.12,8.77,71700000,14950000
Brazil,Serie A,2016,2016-05-22,15:00,Atletico-PR,Atletico-MG,1,1,D,2.27,3.45,3.4,2.38,3.45,3.55,2.23,3.17,3.24,43930000,65050000
Brazil,Serie A,2016,2016-05-22,15:00,Santos,Coritiba,2,1,H,1.57,4.03,7.06,1.58,4.15,8.0,1.52,3.81,6.59,54280000,23400000
