Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2019,2019-04-27,20:00,Sao Paulo,Botafogo RJ,2,0,H,1.78,3.39,5.61,1.81,3.6,5.8,1.74,3.37,5.14,73700000,31150000
Brazil,Serie A,2019,2019-04-27,23:00,Atletico-MG,Avai,2,1,H,1.56,4.09,6.46,1.58,4.09,7.0,1.53,3.9,6.34,46750000,10200000
Brazil,Serie A,2019,2019-04-27,23:00,Chapecoense-SC,Internacional,2,0,H,3.02,3.03,2.71,3.15,3.2,2.71,2.94,2.94,2.59,24800000,60400000
Brazil,Serie A,2019,2019-04-28,01:00,Flamengo RJ,Cruzeiro,3,1,H,2.32,3.2,3.47,2.32,3.4,3.57,2.21,3.12,3.4,96250000,52400000
Brazil,Serie A,2019,2019-04-28,15:00,Gremio,Santos,1,2,A,1.71,3.58,5.78,1.83,3.6,5.94,1.71,3.41,5.31,82200000,94280000
Brazil,Serie A,2019,2019-04-28,20:00,Athletico-PR,Vasco,4,1,H,1.48,4.1,8.19,1.5,4.33,8.5,1.46,4.02,7.31,35100000,42750000
Brazil,Serie A,2019,2019-04-28,20:00,Bahia,Corinthians,3,2,H,2.28,3.14,3.63,2.35,3.3,3.69,2.23,3.06,3.44,28850000,74150000
Brazil,Serie A,2019,2019-04-28,20:00,Ceara,CSA,4,0,H,1.88,3.41,4.81,1.89,3.5,4.85,1.84,3.32,4.49,23200000,27350000
Brazil,Serie A,2019,2019-04-28,23:00,Fluminense,Goias,0,1,A,1.77,3.68,5.02,1.84,3.68,5.2,1.75,3.49,4.75,42550000,23400000
Brazil,Serie A,2019,2019-04-28,23:00,Palmeiras,Fortaleza,4,0,H,1.36,4.98,9.4,1.4,4.98,10.0,1.36,4.66,8.53,114500000,18900000
Brazil,Serie A,2019,2019-05-01,20:00,Corinthians,Chapecoense-SC,1,0,H,1.66,3.3,7.5,1.67,3.6,7.5,1.62,3.42,6.38,74150000,24800000
Brazil,Serie A,2019,2019-05-01,20:00,CSA,Palmeiras,1,1,D,7.04,3.93,1.56,7.8,4.0,1.56,6.88,3.85,1.51,27350000,114500000
Brazil,Serie A,2019,2019-05-01,20:00,Internacional,Flamengo RJ,2,1,H,2.44,3.1,3.34,2.44,3.22,3.34,2.33,3.09,3.17,60400000,96250000
Brazil,Serie A,2019,2019-05-01,23:15,Avai,Gremio,1,1,D,3.88,3.16,2.18,4.2,3.3,2.21,3.72,3.11,2.1,10200000,82200000
Brazil,Serie A,2019,2019-05-01,23:15,Cruzeiro,Ceara,1,0,H,1.52,3.71,8.93,1.52,4.65,9.05,1.46,3.97,7.58,52400000,23200000
Brazil,Serie A,2019,2019-05-02,01:30,Fortaleza,Athletico-PR,2,1,H,3.6,3.27,2.23,3.65,3.27,2.29,3.42,3.09,2.21,18900000,35100000
Brazil,Serie A,2019,2019-05-02,01:30,Goias,Sao Paulo,1,2,A,3.1,3.04,2.63,3.18,3.15,2.63,3.03,2.98,2.49,23400000,73700000
Brazil,Serie A,2019,2019-05-02,01:30,Vasco,Atletico-MG,1,2,A,3.27,3.3,2.37,3.4,3.38,2.37,3.15,3.17,2.3,42750000,46750000
Brazil,Serie A,2019,2019-05-02,23:15,Santos,Fluminense,2,1,H,1.65,3.73,6.13,1.68,3.9,6.5,1.61,3.69,5.64,94280000,42550000
Brazil,Serie A,2019,2019-05-03,00:00,Botafogo RJ,Bahia,3,2,H,2.36,3.06,3.57,2.36,3.15,3.57,2.27,3.0,3.42,31150000,28850000
Brazil,Serie A,2019,2019-05-04,23:00,Palmeiras,Internacional,1,0,H,1.61,3.81,6.5,1.66,4.0,6.5,1.6,3.7,5.78,114500000,60400000
Brazil,Serie A,2019,2019-05-04,23:00,Vasco,Corinthians,1,1,D,3.26,3.16,2.46,3.26,3.2,2.5,3.1,3.06,2.39,42750000,74150000
Brazil,Serie A,2019,2019-05-05,01:00,Ceara,Atletico-MG,1,2,A,2.42,3.18,3.29,2.42,3.25,3.3,2.31,3.12,3.17,23200000,46750000
Brazil,Serie A,2019,2019-05-05,15:00,Chapecoense-SC,Athletico-PR,1,1,D,2.64,2.99,3.15,2.66,3.13,3.2,2.49,2.96,3.04,24800000,35100000
Brazil,Serie A,2019,2019-05-05,20:00,Botafogo RJ,Fortaleza,1,0,H,1.72,4.0,4.87,1.81,4.0,5.3,1.71,3.68,4.74,31150000,18900000
Brazil,Serie A,2019,2019-05-05,20:00,Cruzeiro,Goias,2,1,H,1.4,4.54,9.35,1.43,4.6,11.0,1.38,4.36,8.71,52400000,23400000
