Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2015,2015-05-09,22:30,Chapecoense-SC,Coritiba,2,1,H,2.21,3.24,3.77,2.32,3.3,3.8,2.12,3.15,3.5,17900000.0,22100000.0
Brazil,Serie A,2015,2015-05-09,22:30,Palmeiras,Atletico-MG,2,2,D,1.72,3.72,5.76,1.72,4.1,6.5,1.65,3.52,5.35,73100000.0,60300000.0
Brazil,Serie A,2015,2015-05-10,01:00,Fluminense,Joinville,1,0,H,1.62,3.89,6.69,1.67,4.01,6.73,1.57,3.72,5.96,45050000.0,28550000.0
Brazil,Serie A,2015,2015-05-10,15:00,Gremio,Ponte Preta,3,3,D,1.64,3.71,6.64,1.65,4.1,7.1,1.57,3.63,6.16,46100000.0,9550000.0
Brazil,Serie A,2015,2015-05-10,20:00,Atletico-PR,Internacional,3,0,H,2.19,3.31,3.74,2.31,3.36,3.74,2.16,3.18,3.37,38400000.0,60650000.0
Brazil,Serie A,2015,2015-05-10,20:00,Cruzeiro,Corinthians,0,1,A,2.84,3.24,2.74,2.95,3.3,2.83,2.76,3.09,2.57,85450000.0,73700000.0
Brazil,Serie A,2015,2015-05-10,20:00,Sao Paulo,Flamengo RJ,2,1,H,2.23,3.38,3.6,2.25,3.5,3.66,2.12,3.23,3.39,86850000.0,57100000.0
Brazil,Serie A,2015,2015-05-10,20:00,Sport Recife,Figueirense,4,1,H,1.71,3.66,5.91,1.85,3.78,5.91,1.71,3.46,4.97,27800000.0,26580000.0
Brazil,Serie A,2015,2015-05-10,22:30,Avai,Santos,1,1,D,3.82,3.47,2.11,3.92,3.49,2.22,3.43,3.27,2.09,13650000.0,44300000.0
Brazil,Serie A,2015,2015-05-10,22:30,Vasco,Goias,0,0,D,1.66,3.72,6.46,1.75,3.85,6.46,1.65,3.53,5.44,21900000.0,15500000.0
Brazil,Serie A,2015,2015-05-16,22:30,Coritiba,Gremio,2,0,H,2.6,3.18,3.06,2.79,3.25,3.11,2.54,3.02,2.87,22100000.0,46100000.0
Brazil,Serie A,2015,2015-05-16,22:30,Goias,Atletico-PR,2,0,H,2.3,3.21,3.6,2.31,3.3,3.64,2.23,3.1,3.3,15500000.0,38400000.0
Brazil,Serie A,2015,2015-05-17,01:00,Corinthians,Chapecoense-SC,1,0,H,1.71,3.68,5.95,1.72,4.1,7.3,1.6,3.59,5.93,73700000.0,17900000.0
Brazil,Serie A,2015,2015-05-17,15:00,Figueirense,Vasco,0,0,D,2.58,3.18,3.08,2.7,3.25,3.08,2.5,3.08,2.87,26580000.0,21900000.0
Brazil,Serie A,2015,2015-05-17,20:00,Atletico-MG,Fluminense,4,1,H,2.04,3.43,4.1,2.2,3.65,4.25,1.99,3.3,3.72,60300000.0,45050000.0
Brazil,Serie A,2015,2015-05-17,20:00,Flamengo RJ,Sport Recife,2,2,D,1.68,3.89,5.7,1.68,4.0,6.5,1.62,3.66,5.47,57100000.0,27800000.0
Brazil,Serie A,2015,2015-05-17,20:00,Santos,Cruzeiro,1,0,H,1.88,3.57,4.7,1.91,3.6,4.73,1.82,3.4,4.3,44300000.0,85450000.0
Brazil,Serie A,2015,2015-05-17,22:30,Internacional,Avai,1,0,H,1.76,3.9,5.01,1.8,4.0,6.78,1.65,3.68,5.26,60650000.0,13650000.0
Brazil,Serie A,2015,2015-05-17,22:30,Joinville,Palmeiras,0,0,D,3.3,3.21,2.43,3.33,3.5,2.5,3.09,3.11,2.33,28550000.0,73100000.0
Brazil,Serie A,2015,2015-05-17,22:30,Ponte Preta,Sao Paulo,1,0,H,3.11,3.25,2.53,3.4,3.34,2.53,2.99,3.14,2.37,9550000.0,86850000.0
Brazil,Serie A,2015,2015-05-23,22:30,Sao Paulo,Joinville,3,0,H,1.48,4.21,8.78,1.48,4.4,9.4,1.43,4.0,8.07,86850000.0,28550000.0
Brazil,Serie A,2015,2015-05-23,22:30,Vasco,Internacional,1,1,D,1.89,3.46,4.81,1.9,3.7,5.4,1.8,3.37,4.56,21900000.0,60650000.0
Brazil,Serie A,2015,2015-05-24,01:00,Gremio,Figueirense,1,0,H,1.53,4.1,7.9,1.56,4.11,8.22,1.5,3.79,7.08,46100000.0,26580000.0
Brazil,Serie A,2015,2015-05-24,15:00,Palmeiras,Goias,0,1,A,1.63,3.91,6.64,1.63,4.1,7.5,1.53,3.76,6.54,73100000.0,15500000.0
Brazil,Serie A,2015,2015-05-24,20:00,Atletico-PR,Atletico-MG,1,0,H,3.68,3.35,2.2,3.72,3.5,2.3,3.34,3.25,2.14,38400000.0,60300000.0
Brazil,Serie A,2015,2015-05-24,20:00,Avai,Flamengo RJ,2,1,H,2.96,3.16,2.73,2.96,3.2,2.9,2.64,3.06,2.71,13650000.0,57100000.0
Brazil,Serie A,2015,2015-05-24,20:00,Chapecoense-SC,Santos,1,0,H,2.81,3.17,2.83,2.81,3.4,2.86,2.63,3.1,2.69,17900000.0,44300000.0
Brazil,Serie A,2015,2015-05-24,20:00,Fluminense,Corinthians,0,0,D,2.77,3.17,2.87,2.82,3.25,3.0,2.6,3.05,2.76,45050000.0,73700000.0
Brazil,Serie A,2015,2015-05-24,22:30,Cruzeiro,Ponte Preta,1,1,D,2.39,3.34,3.25,2.39,3.6,3.8,2.22,3.21,3.21,85450000.0,9550000.0
