Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2021,2021-05-29,23:00,Cuiaba,Juventude,2,2,D,2.27,3.11,3.69,2.27,3.25,3.79,2.21,3.06,3.51,16050000,11000000
Brazil,Serie A,2021,2021-05-30,00:00,Bahia,Santos,3,0,H,2.49,3.13,3.2,2.53,3.41,3.21,2.36,3.15,3.09,23130000,71330000
Brazil,Serie A,2021,2021-05-30,01:00,Sao Paulo,Fluminense,0,0,D,1.87,3.26,5.16,1.97,3.5,5.31,1.9,3.12,4.65,77800000,74330000
Brazil,Serie A,2021,2021-05-30,15:00,Atletico-MG,Fortaleza,1,2,A,1.48,4.42,7.31,1.53,4.42,8.1,1.47,4.14,6.98,86550000,21630000
Brazil,Serie A,2021,2021-05-30,20:00,Ceara,Gremio,3,2,H,3.74,3.23,2.19,3.91,3.29,2.23,3.62,3.09,2.16,19080000,96300000
Brazil,Serie A,2021,2021-05-30,20:00,Flamengo RJ,Palmeiras,1,0,H,1.85,3.61,4.61,1.88,3.76,4.77,1.82,3.52,4.33,151750000,145050000
Brazil,Serie A,2021,2021-05-30,22:15,Athletico-PR,America MG,1,0,H,2.53,2.96,3.33,2.57,3.25,3.37,2.44,2.95,3.18,54900000,12900000
Brazil,Serie A,2021,2021-05-30,22:15,Chapecoense-SC,Bragantino,0,3,A,4.14,3.33,2.03,4.23,3.33,2.08,3.88,3.25,2.02,14650000,61730000
Brazil,Serie A,2021,2021-05-30,22:15,Corinthians,Atletico GO,0,1,A,2.06,3.3,4.09,2.1,3.4,4.2,2.01,3.22,3.9,57150000,14900000
Brazil,Serie A,2021,2021-05-31,00:30,Internacional,Sport Recife,2,2,D,1.32,5.37,10.8,1.36,5.5,11.07,1.32,5.07,9.41,69600000,20800000
Brazil,Serie A,2021,2021-06-05,23:00,Atletico GO,Sao Paulo,2,0,H,3.49,2.87,2.51,3.65,3.1,2.51,3.38,2.84,2.41,14900000,77800000
Brazil,Serie A,2021,2021-06-06,01:00,Bragantino,Bahia,3,3,D,1.98,3.39,4.27,2.01,3.54,4.33,1.95,3.31,4.05,61730000,23130000
Brazil,Serie A,2021,2021-06-06,01:00,Santos,Ceara,3,1,H,1.94,3.37,4.46,2.08,3.5,4.58,1.96,3.32,4.0,71330000,19080000
Brazil,Serie A,2021,2021-06-06,15:00,Fluminense,Cuiaba,1,0,H,1.71,3.49,5.99,1.8,3.66,6.0,1.71,3.45,5.31,74330000,16050000
Brazil,Serie A,2021,2021-06-06,20:00,America MG,Corinthians,0,1,A,2.15,3.06,4.12,2.25,3.41,4.12,2.12,3.03,3.81,12900000,57150000
Brazil,Serie A,2021,2021-06-06,20:00,Fortaleza,Internacional,5,1,H,2.69,2.99,3.06,2.85,3.17,3.06,2.66,2.93,2.9,21630000,69600000
Brazil,Serie A,2021,2021-06-06,22:15,Juventude,Athletico-PR,0,3,A,2.92,3.01,2.8,3.02,3.1,2.88,2.82,2.95,2.7,11000000,54900000
Brazil,Serie A,2021,2021-06-06,22:15,Palmeiras,Chapecoense-SC,3,1,H,1.38,4.68,10.19,1.41,5.08,10.29,1.37,4.51,8.91,145050000,14650000
Brazil,Serie A,2021,2021-06-07,00:30,Sport Recife,Atletico-MG,0,1,A,4.49,3.44,1.92,4.75,3.5,2.01,4.23,3.33,1.9,20800000,86550000
Brazil,Serie A,2021,2021-06-12,23:00,Palmeiras,Corinthians,1,1,D,1.89,3.36,4.8,1.99,3.55,5.0,1.88,3.3,4.36,145050000,57150000
Brazil,Serie A,2021,2021-06-12,23:00,Santos,Juventude,0,0,D,1.65,3.85,5.82,1.68,4.0,6.32,1.63,3.73,5.51,71330000,11000000
Brazil,Serie A,2021,2021-06-13,20:00,Atletico-MG,Sao Paulo,1,0,H,2.17,3.23,3.78,2.22,3.37,3.83,2.12,3.19,3.6,86550000,77800000
Brazil,Serie A,2021,2021-06-13,20:00,Flamengo RJ,America MG,2,0,H,1.52,4.14,7.26,1.53,4.3,7.5,1.5,4.07,6.71,151750000,12900000
Brazil,Serie A,2021,2021-06-13,20:00,Gremio,Athletico-PR,0,1,A,1.88,3.27,5.04,1.9,3.5,5.14,1.83,3.25,4.78,96300000,54900000
Brazil,Serie A,2021,2021-06-14,00:30,Bahia,Internacional,0,1,A,2.61,3.32,2.86,2.7,3.32,2.94,2.54,3.19,2.8,23130000,69600000
Brazil,Serie A,2021,2021-06-14,00:30,Bragantino,Fluminense,2,2,D,2.0,3.32,4.29,2.08,3.45,4.3,1.99,3.26,3.94,61730000,74330000
Brazil,Serie A,2021,2021-06-14,00:30,Chapecoense-SC,Ceara,0,0,D,3.36,3.11,2.42,3.56,3.26,2.45,3.22,3.04,2.37,14650000,19080000
Brazil,Serie A,2021,2021-06-14,00:30,Fortaleza,Sport Recife,1,0,H,1.7,3.55,5.92,1.74,3.79,6.1,1.68,3.45,5.62,21630000,20800000
Brazil,Serie A,2021,2021-06-16,23:00,Internacional,Atletico-MG,0,1,A,2.54,3.2,3.05,2.63,3.3,3.12,2.5,3.12,2.88,69600000,86550000
Brazil,Serie A,2021,2021-06-16,23:00,Sao Paulo,Chapecoense-SC,1,1,D,1.36,5.26,9.07,1.38,5.26,9.86,1.35,4.88,8.64,77800000,14650000
Brazil,Serie A,2021,2021-06-17,00:30,Corinthians,Bragantino,1,2,A,2.57,3.03,3.18,2.68,3.13,3.29,2.51,2.95,3.07,57150000,61730000
Brazil,Serie A,2021,2021-06-17,01:30,Juventude,Palmeiras,0,3,A,5.22,3.45,1.8,5.79,3.6,1.85,5.0,3.39,1.76,11000000,145050000
Brazil,Serie A,2021,2021-06-17,20:00,America MG,Cuiaba,0,0,D,2.01,3.1,4.63,2.06,3.28,4.7,1.97,3.07,4.37,12900000,16050000
Brazil,Serie A,2021,2021-06-17,20:00,Ceara,Bahia,1,2,A,2.55,3.14,3.11,2.58,3.18,3.15,2.48,3.04,3.02,19080000,23130000
Brazil,Serie A,2021,2021-06-17,23:00,Atletico GO,Fortaleza,0,0,D,2.59,2.86,3.37,2.6,3.1,3.42,2.51,2.82,3.22,14900000,21630000
Brazil,Serie A,2021,2021-06-17,23:00,Fluminense,Santos,1,0,H,2.13,3.2,3.98,2.16,3.4,4.1,2.07,3.12,3.86,74330000,71330000
Brazil,Serie A,2021,2021-06-17,23:00,Sport Recife,Gremio,1,0,H,4.71,3.55,1.85,5.0,3.57,1.93,4.45,3.39,1.84,20800000,96300000
Brazil,Serie A,2021,2021-06-20,01:00,Flamengo RJ,Bragantino,2,3,A,1.64,4.01,5.64,1.68,4.01,6.0,1.63,3.78,5.33,151750000,61730000
Brazil,Serie A,2021,2021-06-20,15:00,Palmeiras,America MG,2,1,H,1.61,3.83,6.41,1.66,4.0,6.6,1.58,3.73,6.08,145050000,12900000
Brazil,Serie A,2021,2021-06-20,20:00,Bahia,Corinthians,0,0,D,2.44,3.11,3.32,2.46,3.16,3.5,2.34,3.04,3.27,23130000,57150000
Brazil,Serie A,2021,2021-06-20,20:00,Internacional,Ceara,1,1,D,1.67,3.66,6.12,1.72,3.74,6.12,1.67,3.54,5.44,69600000,19080000
